MONTH,HOUR,WEEKDAY,SEASON,TEMPERATURE,RAINFALL,WINDSPEED,HUMLDITY,SNOWFALL,RENTCOUNT
1,5,5,3,-5.2,0.0,1.8,84.0,10.6,0.0
1,6,5,3,-4.5,0.0,0.8,82.0,10.6,0.0
1,7,5,3,-4.3,0.0,1.5,83.0,10.6,0.0
1,8,5,3,-4.0,0.0,1.2,82.0,10.6,0.0
1,9,5,3,-3.2,0.0,1.0,83.0,10.6,0.0
1,10,5,3,-1.3,0.0,0.7,74.0,10.6,0.0
1,11,5,3,1.8,0.0,0.6,70.0,10.6,0.0
1,12,5,3,4.5,0.0,2.1,70.0,10.5,0.0
1,13,5,3,6.1,0.0,1.9,65.0,10.3,3.0
1,14,5,3,6.2,0.0,2.2,64.0,10.0,3.0
1,15,5,3,6.3,0.0,2.2,62.0,9.2,0.0
1,16,5,3,5.6,0.0,1.8,67.0,8.1,1.0
1,17,5,3,4.7,0.0,2.2,73.0,7.9,0.0
1,18,5,3,3.5,0.0,1.7,78.0,7.9,6.0
1,19,5,3,2.4,0.0,0.6,82.0,7.9,0.0
1,20,5,3,1.7,0.0,1.3,87.0,7.9,0.0
1,21,5,3,0.5,0.0,0.8,90.0,7.9,0.0
1,22,5,3,-0.2,0.0,0.5,89.0,7.9,0.0
1,23,5,3,-1.0,0.0,0.8,93.0,7.9,0.0
1,0,6,3,-1.9,0.0,0.0,93.0,7.9,0.0
1,1,6,3,-2.4,0.0,0.6,95.0,7.9,0.0
1,2,6,3,-2.6,0.0,0.6,96.0,7.9,0.0
1,3,6,3,-2.8,0.0,0.7,96.0,7.9,0.0
1,4,6,3,-3.2,0.0,0.5,96.0,7.9,0.0
1,5,6,3,-3.2,0.0,0.1,96.0,7.9,0.0
1,6,6,3,-3.4,0.0,0.8,97.0,7.9,0.0
1,7,6,3,-3.5,0.0,0.2,97.0,7.9,0.0
1,8,6,3,-3.1,0.0,0.7,100.0,7.9,0.0
1,9,6,3,-2.6,0.0,0.5,99.0,7.9,0.0
1,10,6,3,-1.8,0.0,0.3,97.0,7.9,0.0
1,11,6,3,-0.8,0.0,0.4,94.0,7.8,0.0
1,12,6,3,0.5,0.0,0.8,84.0,7.7,0.0
1,13,6,3,1.6,0.0,1.5,69.0,7.6,0.0
1,14,6,3,2.4,0.0,0.7,66.0,7.5,1.0
1,15,6,3,2.7,0.0,1.5,68.0,7.4,1.0
1,16,6,3,2.4,0.0,1.5,65.0,7.4,1.0
1,17,6,3,2.1,0.0,0.1,66.0,7.4,1.0
1,18,6,3,1.3,0.0,0.9,69.0,7.4,0.0
1,19,6,3,1.0,0.0,0.8,70.0,7.4,0.0
1,20,6,3,0.4,0.0,1.2,74.0,7.4,0.0
1,21,6,3,-0.7,0.0,1.2,79.0,7.4,0.0
1,22,6,3,-1.0,0.0,1.1,78.0,7.4,0.0
1,23,6,3,-1.8,0.0,0.8,82.0,7.4,0.0
1,0,0,3,-1.8,0.0,0.5,82.0,7.4,0.0
1,1,0,3,-2.9,0.0,1.3,87.0,7.4,0.0
1,2,0,3,-3.4,0.0,0.9,87.0,7.4,0.0
1,3,0,3,-3.9,0.0,0.2,90.0,7.4,0.0
1,4,0,3,-4.7,0.0,0.1,90.0,7.4,0.0
1,5,0,3,-5.2,0.0,0.5,93.0,7.4,0.0
1,6,0,3,-5.7,0.0,0.0,92.0,7.4,0.0
1,7,0,3,-6.1,0.0,1.1,95.0,7.4,0.0
1,8,0,3,-6.4,0.0,0.6,96.0,7.4,3.0
1,9,0,3,-5.9,0.0,0.1,94.0,7.4,0.0
1,10,0,3,-3.7,0.0,0.6,90.0,7.4,0.0
1,11,0,3,-1.1,0.0,0.4,80.0,7.4,0.0
1,12,0,3,1.4,0.0,0.5,64.0,7.3,0.0
1,13,0,3,2.2,0.0,1.1,63.0,7.2,0.0
1,14,0,3,3.8,0.0,3.2,60.0,7.1,0.0
1,15,0,3,4.3,0.0,3.6,65.0,7.0,0.0
1,16,0,3,3.9,0.0,3.5,65.0,6.9,0.0
1,17,0,3,3.1,0.0,3.2,67.0,6.8,0.0
1,18,0,3,1.8,0.0,1.2,59.0,6.8,0.0
1,19,0,3,0.5,0.0,2.3,59.0,6.8,0.0
1,20,0,3,-1.0,0.0,2.5,65.0,6.8,0.0
1,21,0,3,-1.5,0.0,1.1,65.0,6.8,0.0
1,22,0,3,-2.6,0.0,1.0,68.0,6.8,0.0
1,23,0,3,-3.1,0.0,1.1,72.0,6.8,0.0
1,0,1,3,-3.7,0.0,0.4,75.0,6.8,0.0
1,1,1,3,-3.7,0.0,1.5,77.0,6.8,0.0
1,2,1,3,-4.5,0.0,1.3,80.0,6.8,0.0
1,3,1,3,-4.9,0.0,0.8,83.0,6.8,0.0
1,4,1,3,-5.6,0.0,1.2,86.0,6.8,0.0
1,5,1,3,-6.2,0.0,1.0,88.0,6.8,0.0
1,6,1,3,-6.8,0.0,0.3,90.0,6.8,0.0
1,7,1,3,-7.2,0.0,0.6,91.0,6.8,0.0
1,8,1,3,-7.5,0.0,1.0,92.0,6.8,0.0
1,9,1,3,-6.6,0.0,0.4,92.0,6.8,0.0
1,10,1,3,-4.5,0.0,0.5,84.0,6.8,0.0
1,11,1,3,-2.0,0.0,0.9,75.0,6.8,0.0
1,12,1,3,0.2,0.0,0.5,68.0,6.8,0.0
1,13,1,3,1.6,0.0,1.1,59.0,6.7,0.0
1,14,1,3,2.5,0.0,1.4,54.0,6.6,0.0
1,15,1,3,3.7,0.0,1.4,46.0,6.4,0.0
1,16,1,3,3.8,0.0,1.6,43.0,6.3,1.0
1,17,1,3,3.1,0.0,1.5,49.0,6.2,0.0
1,18,1,3,1.9,0.0,1.5,53.0,6.2,0.0
1,19,1,3,0.5,0.0,1.2,59.0,6.2,0.0
1,20,1,3,-0.6,0.0,1.1,65.0,6.2,0.0
1,21,1,3,-1.4,0.0,0.9,73.0,6.2,0.0
1,22,1,3,-1.9,0.0,0.3,71.0,6.2,0.0
1,23,1,3,-2.6,0.0,1.3,78.0,6.2,1.0
1,0,2,3,-3.5,0.0,0.9,82.0,6.2,0.0
1,1,2,3,-4.1,0.0,0.5,82.0,6.2,0.0
1,2,2,3,-4.8,0.0,0.2,83.0,6.2,0.0
1,3,2,3,-5.4,0.0,0.8,87.0,6.2,0.0
1,4,2,3,-5.8,0.0,0.6,88.0,6.2,0.0
1,5,2,3,-5.6,0.0,0.9,89.0,6.2,0.0
1,6,2,3,-4.8,0.0,0.9,87.0,6.2,0.0
1,7,2,3,-4.1,0.0,0.4,83.0,6.2,0.0
1,8,2,3,-3.9,0.0,0.3,84.0,6.2,0.0
1,9,2,3,-2.9,0.0,0.4,83.0,6.2,0.0
1,10,2,3,-1.7,0.0,0.5,79.0,6.2,0.0
1,11,2,3,-0.9,0.0,0.7,76.0,6.2,0.0
1,12,2,3,-1.2,0.2,0.6,89.0,6.2,0.0
1,13,2,3,-0.1,0.0,0.9,85.0,6.2,0.0
1,14,2,3,1.0,0.0,1.0,83.0,6.2,0.0
1,15,2,3,1.1,0.1,0.8,86.0,6.1,0.0
1,16,2,3,1.0,0.0,2.3,88.0,6.1,0.0
1,17,2,3,0.4,0.0,2.1,87.0,6.1,0.0
1,18,2,3,-0.4,0.0,3.0,87.0,6.1,0.0
1,19,2,3,-0.8,0.0,3.9,80.0,6.2,0.0
1,20,2,3,-1.3,0.0,1.8,76.0,6.1,0.0
1,21,2,3,-1.7,0.0,1.1,73.0,6.1,0.0
1,22,2,3,-1.5,0.0,2.3,74.0,6.1,0.0
1,23,2,3,-1.5,0.0,2.2,71.0,6.1,0.0
1,0,3,3,-1.6,0.0,2.0,74.0,6.1,0.0
1,1,3,3,-1.9,0.0,1.5,74.0,6.1,0.0
1,2,3,3,-2.3,0.0,3.0,71.0,6.1,0.0
1,3,3,3,-2.7,0.0,3.8,68.0,6.1,0.0
1,4,3,3,-3.0,0.0,2.7,69.0,6.1,0.0
1,5,3,3,-3.5,0.0,2.0,68.0,6.1,0.0
1,6,3,3,-3.7,0.0,1.9,68.0,6.1,0.0
1,7,3,3,-3.9,0.0,2.6,69.0,6.1,1.0
1,8,3,3,-4.9,0.0,2.5,68.0,6.1,0.0
1,9,3,3,-4.5,0.0,1.5,68.0,6.1,0.0
1,10,3,3,-3.9,0.0,1.3,66.0,6.1,0.0
1,11,3,3,-3.6,0.0,1.9,66.0,6.1,0.0
1,12,3,3,-3.0,0.0,1.5,65.0,6.1,0.0
1,13,3,3,-2.4,0.0,2.0,63.0,6.1,0.0
1,14,3,3,-2.0,0.0,2.0,62.0,6.1,2.0
1,15,3,3,-2.0,0.0,2.1,61.0,6.0,0.0
1,16,3,3,-2.1,0.0,2.1,61.0,6.0,0.0
1,17,3,3,-2.3,0.0,2.1,61.0,6.0,0.0
1,18,3,3,-2.9,0.0,1.3,67.0,6.0,0.0
1,19,3,3,-4.2,0.0,1.1,70.0,6.0,1.0
1,20,3,3,-4.9,0.0,0.6,73.0,6.0,0.0
